name	asv_id	betweenness	color	asv_name	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
3262	422d85d9cbc31774ca870f307df69a29	0.0264668658887852	#8AE6AE	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium	#F70016	Unknown	#555555	Amphibacillaceae	#FF3B73	Bacillales_D	#FB4070	Bacilli_A	#BB8722	Bacillota_I	#B6860D
3333	43cf372b941ae336b90f610d4073571e	0.00415780055569266	#8AAEE6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595373; g__; s__	#0DFC7E	Brevibacterium	#F43216	Brevibacteriaceae	#A97753	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
3335	43d54f46dba396842221811fa9a696c8	0.0868385345997286	#D3E68A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H_857956	#9CA0A9	Bordetella_A_593886	#605F6C	Burkholderiaceae_A_593909	#EF40AC	Burkholderiales	#1C9ABE	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
3424	459b8772ba322b27cf074474ad435b3c	0.0587969244685663	#D3E68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_306089; f__Bacillaceae_H_294103; g__Bacillus_P_294101	#16AFF4	Dysgonomonas	#80957D	Dysgonomonadaceae	#226EAF	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
3581	4968fb5752ff6417e1b47209b05db027	0.00562454642010609	#D38AE6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029	#A67E7F	Unknown	#555555	SG8-38	#B31C73	Polyangiales	#0DA266	Polyangia_463783	#B00071	Myxococcota_A_473307	#9589B1
3606	49fc1baff761bf9d357844d43cd138ed	0.046769883564173	#8AE6AE	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Dysgonomonas; s__Dysgonomonas massiliensis	#FE658A	Enterococcus_A	#662A77	Enterococcaceae	#1C5316	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
3889	4fd4bbbe5ba3bad87c53acec894626e4	0.0853879950894876	#E68A8A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029; g__Escherichia	#1C62C1	Alcaligenes	#585ABC	Burkholderiaceae_A_595373	#53002A	Burkholderiales	#1C9ABE	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
3974	517dbac44c2b9e1022bad7c3cc8d2d27	0.0120407847668958	#8AE6AE	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium	#F70016	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
3990	51e441cbdcc80da0656e82293ae160b5	0.113082108163225	#8AAEE6	d__Bacteria; p__Myxococcota_A_473307; c__Polyangia_463783; o__Polyangiales; f__SG8-38; g__; s__	#227AA6	Bacteroides_H_857956	#970086	Bacteroidaceae	#A48D5F	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
4786	6112eb975ad2688a76bbbcf1927378bf	0.105554478688807	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae	#B9E8C2	Ochrobactrum_A_499027	#007358	Rhizobiaceae	#869816	Rhizobiales_505101	#8E885A	Alphaproteobacteria	#980DFE	Pseudomonadota	#A916FF
